epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.6843,1.52637,2.03101,1.25547,0.4487,0.18582,0.2912,0.18903,1.444,2.37063,1.38116,0.0677674,0.000325581,0.000325581
2,109.766,1.42097,1.55601,1.28901,0.41725,0.3097,0.37625,0.25121,1.38106,1.83251,1.27933,0.0347609,0.000652391,0.000652391
3,163.371,1.36288,1.35975,1.20297,0.41182,0.32065,0.39964,0.26155,1.40472,1.47424,1.28186,0.0017478,0.000972602,0.000972602
4,216.386,1.32183,1.22393,1.19603,0.90035,0.31791,0.41392,0.28374,1.32146,1.44826,1.25633,0.0009703,0.0009703,0.0009703
5,269.093,1.41178,1.32819,1.25332,0.49108,0.60378,0.60716,0.37683,1.30961,1.35372,1.25405,0.0009604,0.0009604,0.0009604
6,322.476,1.31418,1.19269,1.19915,0.53366,0.58731,0.60138,0.37988,1.2858,1.31704,1.23606,0.0009505,0.0009505,0.0009505
7,377.402,1.24003,1.13022,1.15292,0.51151,0.69627,0.62285,0.38156,1.29252,1.26741,1.26552,0.0009406,0.0009406,0.0009406
8,430.731,1.30927,1.19066,1.18778,0.71891,0.63519,0.62844,0.40085,1.27515,1.21486,1.23545,0.0009307,0.0009307,0.0009307
9,483.492,1.23638,1.09965,1.15797,0.63229,0.67387,0.67537,0.35747,1.33093,1.29417,1.22837,0.0009208,0.0009208,0.0009208
10,535.082,1.2733,1.12866,1.16958,0.54337,0.71493,0.66109,0.35516,1.30072,1.38447,1.22298,0.0009109,0.0009109,0.0009109
11,587.091,1.3734,1.14056,1.18296,0.72813,0.60399,0.7807,0.44723,1.25579,1.25172,1.2029,0.000901,0.000901,0.000901
12,639.389,1.25743,1.08603,1.14947,0.74138,0.66422,0.774,0.4864,1.2463,1.07821,1.20042,0.0008911,0.0008911,0.0008911
13,695.093,1.23122,1.03702,1.14919,0.55343,0.58806,0.62001,0.33631,1.26383,1.15519,1.19709,0.0008812,0.0008812,0.0008812
14,749.844,1.25298,1.02619,1.14069,0.48067,0.6107,0.65652,0.35572,1.28741,1.27764,1.21849,0.0008713,0.0008713,0.0008713
15,808.181,1.22398,0.9977,1.11707,0.95313,0.62438,0.81752,0.40651,1.26309,1.2051,1.21218,0.0008614,0.0008614,0.0008614
16,880.222,1.20859,0.97243,1.12911,0.49628,0.89371,0.53446,0.3311,1.26634,1.09861,1.21757,0.0008515,0.0008515,0.0008515
17,955.634,1.23039,1.01415,1.13532,0.50378,0.63284,0.47357,0.315,1.26114,1.14712,1.186,0.0008416,0.0008416,0.0008416
18,1008.37,1.23564,0.97969,1.1198,0.52,0.71119,0.59309,0.38039,1.31775,1.23838,1.21575,0.0008317,0.0008317,0.0008317
19,1099.39,1.31725,1.0272,1.16471,0.56035,0.77135,0.54747,0.32859,1.25147,1.18875,1.19848,0.0008218,0.0008218,0.0008218
20,1184,1.17448,0.96915,1.12126,0.48157,0.68284,0.50417,0.3389,1.23784,1.07376,1.19332,0.0008119,0.0008119,0.0008119
21,1273.19,1.15793,0.94279,1.10718,0.74301,0.5663,0.60625,0.41597,1.22841,1.00289,1.187,0.000802,0.000802,0.000802
22,1353.64,1.26362,0.97965,1.13343,0.78528,0.46119,0.68989,0.50587,1.22189,1.07483,1.17551,0.0007921,0.0007921,0.0007921
23,1436.42,1.18424,0.9344,1.12843,0.57995,0.74104,0.75646,0.57512,1.21124,1.02194,1.18541,0.0007822,0.0007822,0.0007822
24,1501.29,1.14746,0.92416,1.11481,0.86388,0.53438,0.74026,0.50268,1.20436,1.03008,1.17904,0.0007723,0.0007723,0.0007723
25,1588.42,1.10719,0.87612,1.07653,0.82104,0.72985,0.84296,0.53915,1.19083,1.01822,1.17385,0.0007624,0.0007624,0.0007624
26,1642.67,1.20069,0.92967,1.12717,0.99209,0.62047,0.85381,0.51627,1.20587,1.05801,1.1791,0.0007525,0.0007525,0.0007525
27,1698.48,1.17431,0.89653,1.10572,0.80799,0.68567,0.83935,0.50239,1.21987,0.98925,1.17438,0.0007426,0.0007426,0.0007426
28,1751.71,1.13349,0.87499,1.10741,0.79762,0.70902,0.8544,0.52283,1.22144,0.96634,1.20259,0.0007327,0.0007327,0.0007327
29,1806.88,1.19634,0.89334,1.12558,0.69427,0.7786,0.87133,0.5166,1.2446,1.05558,1.19319,0.0007228,0.0007228,0.0007228
30,1861.33,1.20364,0.89047,1.10365,0.63401,0.76843,0.6999,0.44646,1.24732,1.09695,1.18632,0.0007129,0.0007129,0.0007129
31,1915.94,1.20876,0.86833,1.10156,0.75716,0.67014,0.7089,0.45735,1.20796,1.03632,1.17795,0.000703,0.000703,0.000703
32,1970.34,1.17695,0.86785,1.10949,0.6071,0.82448,0.67038,0.43576,1.19265,1.01171,1.16773,0.0006931,0.0006931,0.0006931
33,2024.8,1.12657,0.84213,1.09327,0.6006,0.80756,0.64684,0.42434,1.18897,0.97511,1.16652,0.0006832,0.0006832,0.0006832
34,2079.2,1.06363,0.81425,1.06995,0.58541,0.84752,0.63855,0.42801,1.16932,0.9783,1.1702,0.0006733,0.0006733,0.0006733
35,2133.23,1.10588,0.82014,1.07483,0.47163,0.9,0.58915,0.38849,1.17495,1.00353,1.15262,0.0006634,0.0006634,0.0006634
36,2188.5,1.12617,0.8301,1.08272,0.54098,0.59104,0.57325,0.40771,1.15582,0.97427,1.1628,0.0006535,0.0006535,0.0006535
37,2243.07,1.10408,0.81051,1.08683,0.46552,0.81642,0.579,0.39199,1.19225,0.99172,1.16398,0.0006436,0.0006436,0.0006436
38,2296.14,1.10842,0.80901,1.07767,0.56843,0.51992,0.55463,0.38151,1.2175,1.06762,1.17588,0.0006337,0.0006337,0.0006337
