epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.5157,1.64084,2.09124,1.30148,0.46496,0.16493,0.29303,0.18347,1.57976,2.42054,1.359,0.0677674,0.000325581,0.000325581
2,117.865,1.53704,1.61927,1.3647,0.41509,0.332,0.38273,0.23242,1.52024,1.86294,1.33065,0.0347609,0.000652391,0.000652391
3,174.978,1.45191,1.39767,1.26799,0.90139,0.32505,0.3883,0.20801,1.79938,1.5869,1.39854,0.0017478,0.000972602,0.000972602
4,231.886,1.45541,1.29001,1.25611,0.49077,0.6,0.58205,0.3429,1.53432,1.54317,1.3208,0.0009703,0.0009703,0.0009703
5,286.82,1.52495,1.40744,1.30764,0.55721,0.56968,0.48182,0.2904,1.77197,1.52734,1.39195,0.0009604,0.0009604,0.0009604
6,343.484,1.45478,1.28495,1.25403,0.5828,0.65311,0.60948,0.35622,1.46943,1.44431,1.29135,0.0009505,0.0009505,0.0009505
7,401.084,1.38125,1.21468,1.2219,0.63714,0.58507,0.59678,0.31697,1.53448,1.52911,1.28394,0.0009406,0.0009406,0.0009406
8,459.701,1.46269,1.28854,1.2667,0.6659,0.53589,0.62167,0.35231,1.74078,1.48827,1.36169,0.0009307,0.0009307,0.0009307
9,512.432,1.40928,1.20231,1.22597,0.57062,0.68215,0.64368,0.33524,1.58023,1.43895,1.29712,0.0009208,0.0009208,0.0009208
10,571.445,1.41732,1.22629,1.24635,0.59057,0.53358,0.61492,0.32456,1.7089,1.41291,1.34874,0.0009109,0.0009109,0.0009109
11,630.311,1.49808,1.23016,1.25218,0.45993,0.82144,0.62666,0.33243,1.62587,1.40282,1.30627,0.000901,0.000901,0.000901
12,689.138,1.39163,1.18512,1.21144,0.62519,0.76685,0.72146,0.41991,1.42689,1.19368,1.24533,0.0008911,0.0008911,0.0008911
13,745.481,1.37067,1.13643,1.21502,0.62335,0.64754,0.6771,0.36415,1.66589,1.24728,1.3079,0.0008812,0.0008812,0.0008812
14,802.816,1.3927,1.11274,1.19824,0.66432,0.62624,0.66408,0.32485,1.66529,1.4223,1.32735,0.0008713,0.0008713,0.0008713
15,859.721,1.33387,1.07323,1.16892,0.52429,0.72985,0.6919,0.38513,1.44873,1.32021,1.27437,0.0008614,0.0008614,0.0008614
16,915.051,1.33111,1.04592,1.19563,0.87894,0.55844,0.72185,0.36891,1.58006,1.21691,1.30429,0.0008515,0.0008515,0.0008515
17,971.327,1.35015,1.09977,1.19582,0.62132,0.7722,0.75774,0.36576,1.63548,1.25129,1.2941,0.0008416,0.0008416,0.0008416
18,1027.61,1.34014,1.04808,1.17171,0.81407,0.55899,0.73604,0.3928,1.46608,1.13994,1.24682,0.0008317,0.0008317,0.0008317
19,1084.07,1.41861,1.08466,1.22759,0.8353,0.70508,0.80899,0.39421,1.54052,1.21074,1.26421,0.0008218,0.0008218,0.0008218
20,1139.44,1.33964,1.05138,1.18549,0.64394,0.54523,0.63436,0.36613,1.58314,1.22366,1.26854,0.0008119,0.0008119,0.0008119
21,1194.91,1.29462,1.01537,1.15587,0.67786,0.61642,0.6574,0.40541,1.4423,1.10397,1.22638,0.000802,0.000802,0.000802
22,1245.45,1.37202,1.04695,1.1808,0.4615,0.65445,0.6846,0.4148,1.43408,1.1495,1.23815,0.0007921,0.0007921,0.0007921
23,1301.58,1.30858,1.01121,1.19109,0.67977,0.68476,0.73973,0.40014,1.56605,1.20142,1.27458,0.0007822,0.0007822,0.0007822
24,1357.31,1.28123,0.98804,1.17413,0.63082,0.82018,0.68976,0.37362,1.39704,1.07074,1.22331,0.0007723,0.0007723,0.0007723
25,1415.19,1.24821,0.95674,1.14531,0.66181,0.74374,0.62642,0.38709,1.35723,1.0439,1.20015,0.0007624,0.0007624,0.0007624
26,1473.6,1.32076,0.99813,1.17919,0.50927,0.77537,0.55677,0.31393,1.44706,1.12143,1.22688,0.0007525,0.0007525,0.0007525
27,1530.79,1.31918,0.96531,1.16723,0.69142,0.73862,0.68652,0.36467,1.52466,1.14622,1.25188,0.0007426,0.0007426,0.0007426
28,1587.59,1.27222,0.95105,1.15568,0.82513,0.61269,0.75407,0.39627,1.49205,1.03371,1.25152,0.0007327,0.0007327,0.0007327
29,1645.76,1.32299,0.96304,1.17578,0.94825,0.61119,0.83215,0.44364,1.33434,1.00749,1.21394,0.0007228,0.0007228,0.0007228
30,1702.12,1.32369,0.97053,1.15181,0.94024,0.58465,0.81045,0.41948,1.39627,1.08808,1.20893,0.0007129,0.0007129,0.0007129
31,1759.38,1.32812,0.94967,1.15172,0.71654,0.72239,0.76462,0.385,1.44791,1.15124,1.21552,0.000703,0.000703,0.000703
32,1817.15,1.3043,0.9459,1.16396,0.50897,0.87313,0.52681,0.32636,1.33599,1.08142,1.20588,0.0006931,0.0006931,0.0006931
33,1872.62,1.25445,0.90983,1.14871,0.52575,0.77463,0.5117,0.32456,1.45922,1.03942,1.2265,0.0006832,0.0006832,0.0006832
34,1928.95,1.20678,0.8973,1.1254,0.66841,0.74236,0.62737,0.37349,1.40418,1.09299,1.21052,0.0006733,0.0006733,0.0006733
35,1987.52,1.23098,0.87708,1.12371,0.62073,0.73831,0.64168,0.36272,1.32395,1.17644,1.18315,0.0006634,0.0006634,0.0006634
36,2044.14,1.25386,0.89716,1.14288,0.63517,0.64333,0.65617,0.40522,1.4892,1.11794,1.23685,0.0006535,0.0006535,0.0006535
37,2093.56,1.26293,0.88192,1.1378,0.56638,0.67072,0.66211,0.41136,1.39353,1.0649,1.20629,0.0006436,0.0006436,0.0006436
38,2144.36,1.27735,0.8806,1.15303,0.6051,0.65746,0.56828,0.34501,1.2991,0.99256,1.20718,0.0006337,0.0006337,0.0006337
39,2192.62,1.25034,0.90022,1.16429,0.43319,0.70746,0.57988,0.30901,1.5116,1.08436,1.23907,0.0006238,0.0006238,0.0006238
40,2242.65,1.25046,0.86384,1.11884,0.70754,0.64701,0.70859,0.40593,1.4176,1.03837,1.22709,0.0006139,0.0006139,0.0006139
41,2296.85,1.33039,0.92442,1.15997,0.54746,0.68806,0.62595,0.38944,1.32552,1.10097,1.1974,0.000604,0.000604,0.000604
42,2349.07,1.18469,0.84963,1.11053,0.63607,0.74261,0.73515,0.41527,1.36598,1.02971,1.20209,0.0005941,0.0005941,0.0005941
43,2400.68,1.2156,0.89353,1.13496,0.68985,0.79843,0.75745,0.46808,1.38382,1.01554,1.2106,0.0005842,0.0005842,0.0005842
44,2456.51,1.2794,0.87122,1.15229,0.55751,0.84925,0.69686,0.44389,1.33054,1.10692,1.18743,0.0005743,0.0005743,0.0005743
45,2511.09,1.21648,0.85161,1.11833,0.6903,0.6178,0.69547,0.4513,1.40093,1.01274,1.20319,0.0005644,0.0005644,0.0005644
46,2566.6,1.22781,0.84792,1.12473,0.57147,0.64792,0.54214,0.35299,1.28935,1.02766,1.16874,0.0005545,0.0005545,0.0005545
47,2621.54,1.21446,0.86519,1.12014,0.62385,0.54478,0.5544,0.35611,1.26975,0.99167,1.1721,0.0005446,0.0005446,0.0005446
48,2676,1.23127,0.855,1.12817,0.54097,0.69776,0.62453,0.36043,1.34589,0.97552,1.20048,0.0005347,0.0005347,0.0005347
49,2729.79,1.23505,0.85539,1.13535,0.62014,0.81984,0.71988,0.41577,1.39014,0.93992,1.19529,0.0005248,0.0005248,0.0005248
50,2784.13,1.28949,0.88252,1.15366,0.7628,0.65272,0.84004,0.47519,1.38376,0.93643,1.19704,0.0005149,0.0005149,0.0005149
51,2839.82,1.20944,0.81718,1.13588,0.7149,0.71108,0.72063,0.43679,1.3535,0.9875,1.19244,0.000505,0.000505,0.000505
52,2892.67,1.26909,0.84304,1.12661,0.54983,0.79104,0.64828,0.41916,1.2769,0.97917,1.16697,0.0004951,0.0004951,0.0004951
53,2950.34,1.18618,0.83173,1.12039,0.61952,0.57015,0.59753,0.38201,1.24663,0.91998,1.17884,0.0004852,0.0004852,0.0004852
