epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.7375,1.1283,1.91644,1.07218,0.75774,0.60235,0.66389,0.44994,1.14176,1.75085,1.06265,0.00062,0.00062,0.00062
2,135.008,1.02104,0.94903,1.05153,0.86088,0.58337,0.69247,0.4964,1.21724,1.58549,1.15408,0.00123505,0.00123505,0.00123505
3,200.097,0.9312,0.85656,1.01071,0.86645,0.7475,0.84125,0.64934,0.94469,1.01507,1.03753,0.00182476,0.00182476,0.00182476
4,264.758,0.86952,0.78647,0.98887,0.88761,0.8053,0.86968,0.6651,0.93521,0.86223,1.04018,0.0018812,0.0018812,0.0018812
5,327.415,0.85296,0.76619,0.97867,0.90506,0.8124,0.89028,0.69807,0.94251,0.83431,1.02615,0.0018416,0.0018416,0.0018416
6,392.496,0.82499,0.7281,0.96553,0.90318,0.84702,0.91615,0.741,0.83474,0.69801,0.98389,0.001802,0.001802,0.001802
7,457.569,0.82558,0.70461,0.97472,0.92951,0.82413,0.90607,0.7192,0.87804,0.71348,1.01308,0.0017624,0.0017624,0.0017624
8,527.374,0.80363,0.67362,0.94972,0.90958,0.85586,0.92469,0.75224,0.8212,0.7178,0.9667,0.0017228,0.0017228,0.0017228
9,593.154,0.76602,0.64825,0.93043,0.93192,0.87773,0.94109,0.78378,0.783,0.67433,0.95643,0.0016832,0.0016832,0.0016832
10,659.909,0.74744,0.61476,0.92891,0.92616,0.86677,0.93604,0.7691,0.81099,0.65596,0.9391,0.0016436,0.0016436,0.0016436
11,724.168,0.72451,0.59737,0.92613,0.95102,0.88882,0.95543,0.80706,0.73366,0.60022,0.92885,0.001604,0.001604,0.001604
12,786.168,0.71844,0.59628,0.93013,0.91932,0.83384,0.91567,0.74099,0.84352,0.68293,0.99205,0.0015644,0.0015644,0.0015644
13,849.651,0.69924,0.59121,0.91739,0.92472,0.83804,0.92334,0.73823,0.85529,0.70197,0.98282,0.0015248,0.0015248,0.0015248
14,913.701,0.69814,0.57546,0.931,0.94396,0.88813,0.95475,0.81428,0.71149,0.55865,0.93468,0.0014852,0.0014852,0.0014852
15,977.347,0.71108,0.55845,0.92459,0.93923,0.85412,0.93321,0.75498,0.83808,0.65368,0.96541,0.0014456,0.0014456,0.0014456
16,1039.19,0.69788,0.55874,0.92191,0.94616,0.89872,0.95867,0.78716,0.80156,0.58431,0.93655,0.001406,0.001406,0.001406
17,1102.06,0.7021,0.55017,0.92378,0.95248,0.89425,0.95777,0.8169,0.69625,0.54345,0.92639,0.0013664,0.0013664,0.0013664
18,1165.85,0.68026,0.53238,0.91303,0.96004,0.90499,0.96272,0.82218,0.71694,0.51477,0.91384,0.0013268,0.0013268,0.0013268
19,1229.82,0.71145,0.52898,0.91589,0.95427,0.90787,0.96434,0.84032,0.66126,0.49543,0.90839,0.0012872,0.0012872,0.0012872
20,1291.9,0.67767,0.50961,0.91141,0.95852,0.90685,0.9634,0.83456,0.6689,0.49004,0.9102,0.0012476,0.0012476,0.0012476
21,1356.27,0.67937,0.51262,0.91186,0.95314,0.9017,0.9596,0.79293,0.7752,0.53807,0.92899,0.001208,0.001208,0.001208
22,1421.61,0.64987,0.49541,0.90601,0.96039,0.9083,0.96816,0.82086,0.72478,0.49572,0.91425,0.0011684,0.0011684,0.0011684
23,1487.86,0.66074,0.5049,0.91034,0.95176,0.88469,0.94973,0.76969,0.83853,0.56933,0.9511,0.0011288,0.0011288,0.0011288
24,1548.07,0.64432,0.48615,0.90019,0.94316,0.8677,0.94139,0.76056,0.85045,0.64874,0.96311,0.0010892,0.0010892,0.0010892
25,1608.51,0.69923,0.51272,0.91923,0.93489,0.88607,0.95334,0.8129,0.69878,0.51353,0.93747,0.0010496,0.0010496,0.0010496
