epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3762,2.22349,3.49722,1.4714,0.06722,0.6612,0.09059,0.04047,1.74583,3.3385,1.26114,0.00012,0.00012,0.00012
2,23.3401,2.15359,2.72151,1.27274,0.09056,0.89071,0.15622,0.06601,1.78966,3.0843,1.18417,0.000254852,0.000254852,0.000254852
3,34.5985,2.17814,1.869,1.24975,0.095,0.93443,0.757,0.34134,1.74742,2.6691,1.14775,0.00038416,0.00038416,0.00038416
4,45.7235,2.24244,1.606,1.28178,0.71932,0.68306,0.73821,0.32134,1.84753,2.08196,1.19035,0.000507924,0.000507924,0.000507924
5,57.1937,2.03041,1.42702,1.22072,0.67961,0.77049,0.75146,0.33836,1.81373,1.57556,1.22242,0.000626144,0.000626144,0.000626144
6,67.6352,2.1007,1.36278,1.2261,0.74684,0.72544,0.795,0.37448,1.79117,1.39942,1.26988,0.00073882,0.00073882,0.00073882
7,78.1047,2.05942,1.31115,1.26838,0.7736,0.73224,0.79447,0.35883,1.82953,1.38812,1.3065,0.000845952,0.000845952,0.000845952
8,88.7787,2.00769,1.26494,1.23523,0.76621,0.7377,0.80502,0.3739,1.82077,1.44024,1.31966,0.00094754,0.00094754,0.00094754
9,99.1241,2.0356,1.2968,1.26889,0.77314,0.72678,0.79018,0.35771,1.82132,1.41182,1.32782,0.00104358,0.00104358,0.00104358
10,109.69,1.98233,1.36882,1.2445,0.69745,0.71585,0.76955,0.34565,1.85413,1.34094,1.35268,0.00113408,0.00113408,0.00113408
11,120.023,1.97482,1.30788,1.2383,0.80815,0.75956,0.84144,0.40215,1.73191,1.27359,1.27632,0.00121904,0.00121904,0.00121904
12,130.144,1.91555,1.25766,1.22064,0.80871,0.68852,0.82893,0.38378,1.76541,1.26148,1.29589,0.00129845,0.00129845,0.00129845
13,140.133,2.01745,1.27024,1.22348,0.78123,0.68296,0.80561,0.37407,1.74695,1.30006,1.27418,0.00137232,0.00137232,0.00137232
14,149.678,1.93071,1.22762,1.22091,0.78123,0.68296,0.80561,0.37407,1.74695,1.30006,1.27418,0.00144064,0.00144064,0.00144064
15,159.993,2.04895,1.21717,1.24093,0.7681,0.70492,0.81984,0.38,1.74855,1.21175,1.26593,0.0014456,0.0014456,0.0014456
16,169.691,1.98599,1.22164,1.23391,0.77657,0.80328,0.86474,0.41213,1.71705,1.10152,1.27029,0.001406,0.001406,0.001406
17,179.765,1.93678,1.22718,1.20001,0.77484,0.82742,0.86199,0.38946,1.79916,1.1383,1.31544,0.0013664,0.0013664,0.0013664
18,189.302,1.95043,1.19441,1.23811,0.77287,0.81421,0.86269,0.3798,1.81944,1.12,1.31404,0.0013268,0.0013268,0.0013268
19,198.899,1.97495,1.22596,1.24425,0.72189,0.78689,0.81081,0.32688,1.87035,1.19643,1.32327,0.0012872,0.0012872,0.0012872
20,208.629,1.9732,1.2706,1.23632,0.69984,0.76444,0.7692,0.34705,1.79269,1.21378,1.27748,0.0012476,0.0012476,0.0012476
21,218.505,1.94604,1.23086,1.2171,0.78983,0.71038,0.79646,0.3881,1.70513,1.20459,1.24153,0.001208,0.001208,0.001208
22,228.038,1.9546,1.2373,1.21781,0.78983,0.71038,0.79646,0.3881,1.70513,1.20459,1.24153,0.0011684,0.0011684,0.0011684
23,237.794,1.88082,1.21608,1.1966,0.81614,0.65493,0.76272,0.36861,1.71763,1.29765,1.24514,0.0011288,0.0011288,0.0011288
24,247.292,1.90395,1.23457,1.22696,0.79548,0.67213,0.7402,0.35967,1.75021,1.40714,1.25612,0.0010892,0.0010892,0.0010892
25,257.054,1.92049,1.21579,1.20365,0.79077,0.6776,0.77435,0.37717,1.76111,1.32051,1.25182,0.0010496,0.0010496,0.0010496
26,267.458,1.96235,1.27483,1.24543,0.7504,0.77214,0.83687,0.41759,1.71897,1.17478,1.23403,0.00101,0.00101,0.00101
27,277.428,1.89208,1.22422,1.22761,0.74823,0.8306,0.85555,0.43395,1.69086,1.07646,1.22833,0.0009704,0.0009704,0.0009704
28,287.67,1.8903,1.18302,1.21989,0.76793,0.77754,0.85103,0.42714,1.68606,1.06156,1.23447,0.0009308,0.0009308,0.0009308
29,298.074,1.84642,1.14022,1.2049,0.81225,0.73288,0.84391,0.41024,1.73255,1.06543,1.24636,0.0008912,0.0008912,0.0008912
30,307.619,1.89796,1.12408,1.16909,0.81225,0.73288,0.84391,0.41024,1.73255,1.06543,1.24636,0.0008516,0.0008516,0.0008516
31,317.675,1.88661,1.15816,1.19904,0.75717,0.77596,0.83034,0.39567,1.76901,1.07301,1.25667,0.000812,0.000812,0.000812
32,327.58,1.9132,1.17216,1.18404,0.71216,0.81967,0.82548,0.39873,1.75407,1.07579,1.24856,0.0007724,0.0007724,0.0007724
33,338.137,1.87804,1.09788,1.14756,0.7406,0.80328,0.84338,0.41154,1.73283,1.05284,1.23453,0.0007328,0.0007328,0.0007328
34,348.313,1.87247,1.14143,1.18211,0.75142,0.85246,0.87489,0.43101,1.7084,1.01431,1.22241,0.0006932,0.0006932,0.0006932
35,358.317,1.87152,1.09,1.18391,0.74103,0.87564,0.8787,0.43691,1.71713,0.99831,1.22794,0.0006536,0.0006536,0.0006536
36,368.245,1.88485,1.12692,1.17847,0.74353,0.83607,0.87875,0.43714,1.73431,0.99686,1.23838,0.000614,0.000614,0.000614
37,378.507,1.87951,1.13281,1.16167,0.80156,0.80874,0.88119,0.43156,1.77254,1.0033,1.26251,0.0005744,0.0005744,0.0005744
38,388.149,1.87161,1.10495,1.22294,0.80156,0.80874,0.88119,0.43156,1.77254,1.0033,1.26251,0.0005348,0.0005348,0.0005348
39,397.868,1.90061,1.13882,1.18833,0.81515,0.81931,0.8819,0.43265,1.76526,1.01284,1.25863,0.0004952,0.0004952,0.0004952
40,408.255,1.82563,1.07801,1.15655,0.80536,0.81396,0.87512,0.42851,1.73901,1.0201,1.24291,0.0004556,0.0004556,0.0004556
41,417.753,1.85696,1.23303,1.22519,0.80603,0.79477,0.86381,0.42735,1.7175,1.04262,1.23188,0.000416,0.000416,0.000416
42,427.577,1.84657,1.22083,1.17943,0.76576,0.78689,0.83446,0.40693,1.70821,1.11205,1.22654,0.0003764,0.0003764,0.0003764
43,437.405,1.83109,1.23069,1.20119,0.77058,0.74317,0.81276,0.40229,1.70322,1.1395,1.22758,0.0003368,0.0003368,0.0003368
44,447.331,1.83922,1.21828,1.22228,0.75884,0.75659,0.81018,0.39888,1.70118,1.16029,1.23346,0.0002972,0.0002972,0.0002972
45,457.086,1.83684,1.19832,1.20861,0.84291,0.7377,0.827,0.41213,1.69988,1.12681,1.23926,0.0002576,0.0002576,0.0002576
46,466.66,1.77152,1.21003,1.18475,0.84291,0.7377,0.827,0.41213,1.69988,1.12681,1.23926,0.000218,0.000218,0.000218
47,476.256,1.86607,1.18353,1.23977,0.85265,0.7377,0.83991,0.41606,1.70718,1.09353,1.24687,0.0001784,0.0001784,0.0001784
48,485.609,1.84843,1.16664,1.24485,0.76531,0.83751,0.85259,0.42249,1.7232,1.06005,1.2544,0.0001388,0.0001388,0.0001388
49,495.208,1.84593,1.24128,1.21629,0.76536,0.81967,0.85524,0.4211,1.73195,1.05069,1.25761,9.92e-05,9.92e-05,9.92e-05
50,504.448,1.81583,1.18726,1.19749,0.76486,0.81765,0.85079,0.41929,1.73357,1.05511,1.25813,5.96e-05,5.96e-05,5.96e-05
